meal_id,batch_id,item,inferred_qty,unit,fuzzy,notes
M0001,B019,XL White Eggs,2,ct,no,
M0001,B018,Shredded Mexican Cheese,0.1,bag,yes,fuzzy cheese
M0002,B017,Rigatoni Pasta,0.25,box,no,
M0002,B003,Boneless Chicken Breast,0.33,pkg,no,
M0002,B010,Garlic Blend,0.15,pkg,no,garlic paste
M0002,B013,Red Onions,0.15,lb,no,
M0002,B014,Red Bell Peppers,0.2,lb,no,green pepper from trio/bell
M0002,B015,Robusto 6 Cheese Pasta Sauce,0.33,jar,no,
M0003,B004,Milk Fat Free,0.15,bottle,no,
M0004,B019,XL White Eggs,2,ct,no,
M0004,B006,Cottage Cheese Lowfat Pineapple,0.2,tub,no,
M0004,B013,Red Onions,0.1,lb,no,
M0004,B001,Pepper Trio,0.2,pkg,no,green pepper
M0005,B012,Plain Bagels,1,ct,no,1 of pkg
M0005,B001,Pepper Trio,0.2,pkg,no,green pepper
M0005,B013,Red Onions,0.1,lb,no,
M0005,B018,Shredded Mexican Cheese,0.1,bag,yes,fuzzy cheese
M0005,B002,Sliced Rotisserie Chicken,0.33,pkg,no,chicken slices
M0006,B011,Burrito Tortillas,1,ct,no,
M0006,B003,Boneless Chicken Breast,0.33,pkg,no,
M0006,B001,Pepper Trio,0.3,pkg,no,frozen peppers
M0006,B013,Red Onions,0.1,lb,no,
M0006,B020,Basmati Rice,0.15,bag,yes,fuzzy rice
M0006,B018,Shredded Mexican Cheese,0.1,bag,yes,fuzzy cheese
M0006,B006,Cottage Cheese Lowfat Pineapple,0.2,tub,no,
M0007,B008,Mandarins,2,ct,no,
M0007,B016,Red Delicious Apples,0.33,lb,no,1 apple
M0007,B007,Baby Cut Carrots,0.2,bag,no,
M0007,B004,Milk Fat Free,0.15,bottle,no,
M0008,B019,XL White Eggs,3,ct,no,
M0008,B013,Red Onions,0.1,lb,no,
M0008,B001,Pepper Trio,0.2,pkg,no,green pepper
M0008,B006,Cottage Cheese Lowfat Pineapple,0.2,tub,no,
M0009,B012,Plain Bagels,1,ct,no,1 of pkg
M0009,B005,Whipped Cream Cheese,0.15,tub,no,
M0010,B017,Rigatoni Pasta,0.25,box,no,
M0010,B015,Robusto 6 Cheese Pasta Sauce,0.33,jar,no,
M0010,B003,Boneless Chicken Breast,0.34,pkg,no,
M0010,B010,Garlic Blend,0.15,pkg,no,garlic paste
M0010,B013,Red Onions,0.15,lb,no,
M0010,B014,Red Bell Peppers,0.2,lb,no,green pepper
M0011,B007,Baby Cut Carrots,0.2,bag,no,
M0011,B008,Mandarins,1,ct,no,
M0011,B016,Red Delicious Apples,0.33,lb,no,1 apple
M0011,B022,Mint Choc Chip Ice Cream,0.15,tub,no,
M0011,B024,Cookies,2,ct,no,
