date,description,cost,notes
2026-07-14,Happy hour,10.24,restaurant
2026-07-15,Happy hour,7.86,restaurant
2026-07-17,Burger King,11.75,
2026-07-17,Ice cream shop,14.01,
2026-07-19,Taco Bell,6.52,
2026-07-20,Motek,42.37,restaurant
2026-07-22,7-Eleven,2.29,
2026-07-22,Chipotle,17.82,dinner
2026-07-22,Chocolate milk,2.99,bought alongside Chipotle dinner
2026-07-23,Taco Bell,8.00,dinner
2026-07-24,Coffee,9.00,
2026-07-24,Snack food,14.98,
2026-07-24,Drinks,7.04,
2026-07-26,Chips,3.20,breakfast
2026-07-26,Wendy's,8.54,dinner
2026-07-26,Cava,12.14,dinner
2026-07-28,Cava,12.00,dinner
2026-07-29,Food,9.00,snack
2026-07-30,Food,6.00,snack
2026-07-30,Dominos,7.00,snack
2026-07-31,Food truck,17.00,dinner
2026-07-31,Food,7.00,snack
2026-08-01,Ice cream,13.00,snack
2026-08-01,7-Eleven,10.00,snack
2026-08-02,Dinner out,17.00,dinner
2026-08-02,Milkshake,9.00,snack
2026-08-03,7-Eleven,2.19,snack
